447690001000	Xiao Sha	Yes	Yes	=	Xiao Sha	=
447690001000	competed	Yes	Yes	=	competed	=
447690001000	in the World Championships	Yes	Yes	=	FILTER Stuttgart,	|
Gold Verdict: SUPPORTS

14740001000	Harman Tarrant	Yes	Yes	=	Harman Tarrant	=
14740001000	was a member of the first incarnation	Yes	Yes	=	FILTER 1880	|
Gold Verdict: SUPPORTS

214460001000	Ohio State scored	Yes	Yes	=	scored	=
214460001000	fewer points than Purdue	Yes	Yes	=	COMP 56	=
214460001000	at the 1947 NCAA Swimming and Diving Championships	Yes	Yes	=	at the 1947 NCAA Swimming and Diving Championships	=
Gold Verdict: REFUTES

37160001000	Wellington Nascimento Carvalho	Yes	Yes	=	Wellington Nascimento Carvalho	=
37160001000	is a Brazilian football player	Yes	Yes	=	is a football player	=
Gold Verdict: SUPPORTS

30500001000	The two episodes of Das unsichtbare Visier are 89 minutes	Yes	Yes	=	SUM 173	|
30500001000	long	Yes	Yes	=	long	=
Gold Verdict: SUPPORTS

159530001000	The Sap production discography produced a total of eight songs	Yes	Yes	=	COUNT 9	|
Gold Verdict: SUPPORTS

128900001000	During the 1949 season under coach John Gill	Yes	Yes	=	during the 1949 season	=
128900001000	the Western Michigan Broncos defeated Ohio	Yes	Yes	=	FILTER Iowa State Teachers, Ohio, Cincinnati, Washington University, Central Michigan, Miami (OH), Butler, and Western Reserve	|
Gold Verdict: REFUTES

36630001000	Phukkhom	Yes	Yes	=	Siang Khorong Khong Khon Siachai	=
36630001000	of BNK48	Yes	Yes	=	BNK48	=
36630001000	participated	Yes	Yes	=	was	=
36630001000	in the 2019 music video	Yes	Yes	=	The 2019 music video	=
36630001000	Siang Khorong Khong Khon Siachai	Yes	Yes	=	Siang Khorong Khong Khon Siachai	=
36630001000	by Tor Saksit	Yes	Yes	=	by Tor Saksit	=
Gold Verdict: REFUTES

117200001000	The 565th Strategic Missile Squadron	Yes	Yes	=	The 565th Strategic Missile Squadron	=
117200001000	participated	Yes	Yes	=	participated	=
117200001000	in nine campaigns	Yes	Yes	=	in campaigns	=
Gold Verdict: REFUTES

218270001000	Russia Unics Kazan	Yes	Yes	=	Russia Unics Kazan	=
218270001000	recorded	Yes	Yes	=	reached	=
218270001000	a single loss	Yes	Yes	=	the semifinals	|
Gold Verdict: NOT ENOUGH INFO

363340001000	Jacques Freitag	Yes	Yes	=	Jacques Freitag	=
363340001000	represented South Africa in World Youth Championships in 1999	Yes	Yes	=	represented Poland in World Youth Championships in 1999	|
Gold Verdict: SUPPORTS

125430001000	Radio Televisyen Malaysia has fourteen states	Yes	Yes	=	Radio Televisyen Malaysia has local stations	=
Gold Verdict: REFUTES

104720001000	Army	Yes	Yes	=	Army	=
104720001000	of the Ohio	Yes	Yes	=	of the Ohio	=
104720001000	was a field army	Yes	Yes	=	was a field army	=
Gold Verdict: REFUTES

247670001000	The Shambala language	Yes	Yes	=	The Shambala language	=
247670001000	has 650,000 speakers	Yes	Yes	=	FILTER 660,000	=
Gold Verdict: REFUTES

290270001000	Dmitri Soloviev	Yes	Yes	=	Dmitri Soloviev	=
290270001000	didn't have	Yes	Yes	=	had	|
290270001000	a short dance in the 2017-2018 season	Yes	Yes	=	short dances in the 2017-2018 season	=
Gold Verdict: SUPPORTS

72220001000	Taylor Momsen	Yes	Yes	=	Taylor Momsen	=
72220001000	appeared	Yes	Yes	=	appeared	=
72220001000	in the 1999 film	Yes	Yes	=	in the 1999 film	=
72220001000	The Prophet	Yes	Yes	=	The Prophet	=
72220001000	's Game as Honey Bee Swan	Yes	Yes	=	FILTER Honey Bee Swan.	=
Gold Verdict: SUPPORTS

160310001000	In the season 1990–91	Yes	Yes	=	in the season 1990 1990-91 – 91	=
160310001000	of FC Lokomotiv Gorna Oryahovitsa	Yes	Yes	=	FC Lokomotiv Gorna Oryahovitsa	=
160310001000	FC Lokomotiv Gorna Oryahovitsa	Yes	Yes	=	FC Lokomotiv Gorna Oryahovitsa	=
160310001000	obtained 13 wins	Yes	Yes	=	FILTER 13	=
Gold Verdict: REFUTES

48460001000	Sadhu Meher	Yes	Yes	=	Sadhu Meher	=
48460001000	directed	Yes	Yes	=	directed	=
48460001000	Abhimaan	Yes	Yes	=	Abhimaan	=
48460001000	in 1977	Yes	Yes	=	in 1977	=
Gold Verdict: SUPPORTS

