40530001000	John Laurie was part	Yes	Yes	=	John Laurie was part	=
40530001000	of the Bees on the Boat-Deck in 1939	Yes	Yes	=	of the Bees on the Boat-Deck in 1939	=
Gold Verdict: SUPPORTS

14740001000	Harman Tarrant	Yes	Yes	=	Harman Tarrant	=
14740001000	was a member	Yes	Yes	=	was a member	=
14740001000	of the first incarnation	Yes	Yes	=	FILTER 1880	|
Gold Verdict: SUPPORTS

30500001000	The two episodes of Das unsichtbare Visier are 89 minutes	Yes	Yes	=	SUM 173	|
30500001000	long	Yes	Yes	=	long	=
Gold Verdict: SUPPORTS

159530001000	The Sap production discography produced a total of eight songs	Yes	Yes	=	COUNT 9	|
Gold Verdict: SUPPORTS

128900001000	During the 1949 season under coach John Gill	Yes	Yes	=	during the 1949 season	=
128900001000	the Western Michigan Broncos defeated Ohio	Yes	Yes	=	FILTER Iowa State Teachers, Ohio, Cincinnati, Washington University, Central Michigan, Miami (OH), Butler, and Western Reserve	|
Gold Verdict: REFUTES

36630001000	Phukkhom of BNK48	Yes	Yes	=	BNK48	=
36630001000	participated in the 2019 music video	Yes	Yes	=	was The 2019 music video	=
36630001000	Siang Khorong Khong Khon Siachai	Yes	Yes	=	Siang Khorong Khong Khon Siachai	=
36630001000	by Tor Saksit	Yes	Yes	=	by Tor Saksit	=
Gold Verdict: REFUTES

218270001000	Russia Unics Kazan	Yes	Yes	=	Russia Unics Kazan	=
218270001000	recorded a single loss	Yes	Yes	=	reached the semifinals	|
Gold Verdict: NOT ENOUGH INFO

363340001000	Jacques Freitag represented	Yes	Yes	=	Jacques Freitag represented	=
363340001000	South Africa in World Youth Championships in 1999	Yes	Yes	=	Poland in World Youth Championships in 1999	|
Gold Verdict: SUPPORTS

301940001000	From 2008-2010 Cartoon Network aired Ben 10 Alien Force	Yes	Yes	=	List by of Cartoon Network broadcast Animated series	|
Gold Verdict: SUPPORTS

290270001000	Dmitri Soloviev	Yes	Yes	=	Dmitri Soloviev	=
290270001000	didn't have a short dance	Yes	Yes	=	had short dances	=
290270001000	in the 2017-2018 season	Yes	Yes	=	FILTER short dances.	|
Gold Verdict: SUPPORTS

8220001000	Yuko Gordon	Yes	Yes	=	Yuko Gordon	=
8220001000	participated	Yes	Yes	=	participated	=
8220001000	in three different international competitions	Yes	Yes	=	in the International competitions	|
8220001000	in 1985	Yes	Yes	=	in 1985	=
Gold Verdict: SUPPORTS

